Namespace(data_dir='../data', dataset='chameleon', device=0, seed=42, cpu=False, epochs=500, runs=1, train_prop=0.5, valid_prop=0.25, protocol='semi', rand_split=False, rand_split_class=False, label_num_per_class=20, valid_num=500, test_num=500, directed=False, method='sgformer', hidden_channels=64, num_layers=2, num_heads=1, alpha=0.5, use_bn=False, use_residual=False, use_graph=False, use_weight=False, use_init=False, use_act=False, attention='gcn', lr=0.01, weight_decay=0.0005, dropout=0.5, display_step=1, no_feat_norm=False, patience=200, graph_weight=0.8, ours_weight_decay=0.0005, ours_use_weight=False, ours_use_residual=False, ours_use_act=False, backbone='gcn', ours_layers=2, ours_dropout=0.5, aggregate='add', hops=1, gat_heads=8, out_heads=1, lamda=0.1, num_elayers=2, encoder_emdim=768, num_partitions=10, num_reps=4, partition_method='metis', no_pse=False, local_only=False, global_only=False)
chameleon
features shape=torch.Size([890, 2325])
num nodes 890 | num classes 5 | num node feats 2325
Epoch: 59, Loss: 0.8665, Train: 97.07%, Valid: 26.48%, Test: 25.77%
Epoch: 60, Loss: 0.8750, Train: 97.07%, Valid: 28.57%, Test: 25.77%
Epoch: 61, Loss: 0.8271, Train: 97.07%, Valid: 29.27%, Test: 27.84%
Epoch: 62, Loss: 0.8434, Train: 97.07%, Valid: 28.57%, Test: 28.35%
Epoch: 63, Loss: 0.8265, Train: 97.07%, Valid: 28.57%, Test: 27.84%
Epoch: 64, Loss: 0.8167, Train: 97.07%, Valid: 28.92%, Test: 27.84%
Epoch: 65, Loss: 0.8087, Train: 97.07%, Valid: 28.92%, Test: 28.35%
Epoch: 66, Loss: 0.8048, Train: 97.07%, Valid: 28.92%, Test: 28.35%
Epoch: 67, Loss: 0.7768, Train: 97.07%, Valid: 27.87%, Test: 26.29%
Epoch: 68, Loss: 0.7501, Train: 97.07%, Valid: 28.92%, Test: 26.29%
Epoch: 69, Loss: 0.7964, Train: 97.31%, Valid: 28.92%, Test: 25.77%
Epoch: 70, Loss: 0.7856, Train: 97.56%, Valid: 28.57%, Test: 26.29%
Epoch: 71, Loss: 0.7475, Train: 97.56%, Valid: 29.27%, Test: 25.77%
Epoch: 72, Loss: 0.7898, Train: 97.56%, Valid: 28.92%, Test: 25.77%
Epoch: 73, Loss: 0.7415, Train: 97.56%, Valid: 28.92%, Test: 26.80%
Epoch: 74, Loss: 0.7494, Train: 97.56%, Valid: 28.92%, Test: 27.84%
Epoch: 75, Loss: 0.7332, Train: 97.80%, Valid: 28.92%, Test: 27.32%
Epoch: 76, Loss: 0.7067, Train: 97.80%, Valid: 29.27%, Test: 27.32%
Epoch: 77, Loss: 0.7515, Train: 97.80%, Valid: 29.27%, Test: 27.32%
Epoch: 78, Loss: 0.7325, Train: 97.80%, Valid: 29.27%, Test: 27.84%
Epoch: 79, Loss: 0.7479, Train: 97.80%, Valid: 29.27%, Test: 28.35%
Epoch: 80, Loss: 0.7266, Train: 97.80%, Valid: 29.62%, Test: 28.35%
Epoch: 81, Loss: 0.7414, Train: 97.80%, Valid: 29.27%, Test: 27.84%
Epoch: 82, Loss: 0.7054, Train: 97.80%, Valid: 29.97%, Test: 29.38%
Epoch: 83, Loss: 0.7331, Train: 97.80%, Valid: 30.31%, Test: 28.87%
Epoch: 84, Loss: 0.6554, Train: 97.80%, Valid: 30.66%, Test: 28.87%
Epoch: 85, Loss: 0.7391, Train: 97.80%, Valid: 29.97%, Test: 29.38%
Epoch: 86, Loss: 0.7123, Train: 97.80%, Valid: 29.62%, Test: 29.38%
Epoch: 87, Loss: 0.6856, Train: 97.80%, Valid: 29.27%, Test: 29.38%
Epoch: 88, Loss: 0.7691, Train: 97.80%, Valid: 28.92%, Test: 28.87%
Epoch: 89, Loss: 0.7009, Train: 97.80%, Valid: 29.27%, Test: 28.87%
Epoch: 90, Loss: 0.6792, Train: 97.80%, Valid: 31.01%, Test: 28.35%
Epoch: 91, Loss: 0.6540, Train: 97.80%, Valid: 29.97%, Test: 27.84%
Epoch: 92, Loss: 0.6802, Train: 97.80%, Valid: 30.66%, Test: 28.87%
Epoch: 93, Loss: 0.7111, Train: 97.80%, Valid: 30.31%, Test: 28.87%
Epoch: 94, Loss: 0.6996, Train: 97.80%, Valid: 30.66%, Test: 28.87%
Epoch: 95, Loss: 0.6656, Train: 97.80%, Valid: 30.66%, Test: 30.41%
Epoch: 96, Loss: 0.6787, Train: 97.80%, Valid: 30.66%, Test: 29.90%
Epoch: 97, Loss: 0.7053, Train: 97.80%, Valid: 30.66%, Test: 30.41%
Epoch: 98, Loss: 0.6725, Train: 97.80%, Valid: 30.66%, Test: 30.93%
Epoch: 99, Loss: 0.6788, Train: 97.80%, Valid: 30.31%, Test: 30.41%
Epoch: 100, Loss: 0.6510, Train: 97.80%, Valid: 29.27%, Test: 29.90%
Epoch: 101, Loss: 0.6528, Train: 97.80%, Valid: 29.62%, Test: 29.90%
Epoch: 102, Loss: 0.6674, Train: 97.80%, Valid: 29.97%, Test: 28.87%
Epoch: 103, Loss: 0.6507, Train: 97.80%, Valid: 30.31%, Test: 29.38%
Epoch: 104, Loss: 0.6172, Train: 97.80%, Valid: 30.31%, Test: 29.90%
Epoch: 105, Loss: 0.6315, Train: 97.80%, Valid: 30.31%, Test: 29.38%
Epoch: 106, Loss: 0.5966, Train: 97.80%, Valid: 29.97%, Test: 28.87%
Epoch: 107, Loss: 0.6231, Train: 97.80%, Valid: 29.97%, Test: 29.38%
Epoch: 108, Loss: 0.6480, Train: 97.80%, Valid: 30.31%, Test: 29.38%
Epoch: 109, Loss: 0.6116, Train: 97.80%, Valid: 30.31%, Test: 29.38%
Epoch: 110, Loss: 0.6159, Train: 97.80%, Valid: 29.97%, Test: 28.87%
Epoch: 111, Loss: 0.6334, Train: 97.80%, Valid: 29.97%, Test: 28.87%
Epoch: 112, Loss: 0.6501, Train: 97.80%, Valid: 29.27%, Test: 29.38%
Epoch: 113, Loss: 0.6018, Train: 97.80%, Valid: 29.27%, Test: 29.90%
Epoch: 114, Loss: 0.6351, Train: 97.80%, Valid: 29.62%, Test: 29.90%
Epoch: 115, Loss: 0.6356, Train: 97.80%, Valid: 29.62%, Test: 29.38%
Epoch: 116, Loss: 0.6111, Train: 97.80%, Valid: 29.62%, Test: 29.38%
Epoch: 117, Loss: 0.5884, Train: 97.80%, Valid: 30.31%, Test: 28.87%
Epoch: 118, Loss: 0.6264, Train: 97.80%, Valid: 30.31%, Test: 27.84%
Epoch: 119, Loss: 0.5761, Train: 97.80%, Valid: 29.97%, Test: 28.87%
Epoch: 120, Loss: 0.5818, Train: 97.80%, Valid: 30.31%, Test: 28.87%
Epoch: 121, Loss: 0.6422, Train: 97.80%, Valid: 30.66%, Test: 28.87%
Epoch: 122, Loss: 0.6134, Train: 97.80%, Valid: 30.31%, Test: 29.38%
Epoch: 123, Loss: 0.6250, Train: 97.80%, Valid: 30.66%, Test: 29.90%
Epoch: 124, Loss: 0.5846, Train: 97.80%, Valid: 30.66%, Test: 29.38%
Epoch: 125, Loss: 0.5698, Train: 97.80%, Valid: 31.01%, Test: 29.38%
Epoch: 126, Loss: 0.6155, Train: 97.80%, Valid: 30.31%, Test: 28.35%
Epoch: 127, Loss: 0.6501, Train: 97.80%, Valid: 29.97%, Test: 29.38%
Epoch: 128, Loss: 0.5377, Train: 97.80%, Valid: 29.27%, Test: 30.93%
Epoch: 129, Loss: 0.6215, Train: 97.80%, Valid: 29.27%, Test: 30.41%
Epoch: 130, Loss: 0.5816, Train: 97.80%, Valid: 29.62%, Test: 30.41%
Epoch: 131, Loss: 0.5856, Train: 97.80%, Valid: 30.31%, Test: 29.90%
Epoch: 132, Loss: 0.6617, Train: 97.80%, Valid: 30.66%, Test: 29.38%
Epoch: 133, Loss: 0.6026, Train: 97.80%, Valid: 30.31%, Test: 29.38%
Epoch: 134, Loss: 0.5677, Train: 97.80%, Valid: 30.31%, Test: 29.90%
Epoch: 135, Loss: 0.6209, Train: 97.80%, Valid: 30.31%, Test: 29.90%
Epoch: 136, Loss: 0.5647, Train: 97.80%, Valid: 30.31%, Test: 29.38%
Epoch: 137, Loss: 0.6075, Train: 97.80%, Valid: 29.62%, Test: 29.90%
Epoch: 138, Loss: 0.6379, Train: 97.80%, Valid: 29.97%, Test: 29.38%
Epoch: 139, Loss: 0.5723, Train: 97.80%, Valid: 30.31%, Test: 30.41%
Epoch: 140, Loss: 0.6199, Train: 97.80%, Valid: 29.97%, Test: 30.41%
Epoch: 141, Loss: 0.6045, Train: 97.80%, Valid: 29.62%, Test: 30.41%
Epoch: 142, Loss: 0.6044, Train: 97.80%, Valid: 29.97%, Test: 31.96%
Epoch: 143, Loss: 0.5964, Train: 97.80%, Valid: 29.62%, Test: 32.47%
Epoch: 144, Loss: 0.5700, Train: 97.80%, Valid: 29.97%, Test: 30.41%
Epoch: 145, Loss: 0.6096, Train: 97.80%, Valid: 30.66%, Test: 29.38%
Epoch: 146, Loss: 0.5644, Train: 97.80%, Valid: 30.31%, Test: 28.87%
Epoch: 147, Loss: 0.5636, Train: 97.80%, Valid: 29.97%, Test: 28.87%
Epoch: 148, Loss: 0.6164, Train: 97.80%, Valid: 29.62%, Test: 29.38%
Epoch: 149, Loss: 0.5826, Train: 97.80%, Valid: 29.97%, Test: 30.41%
Epoch: 150, Loss: 0.5965, Train: 97.80%, Valid: 30.31%, Test: 29.38%
Epoch: 151, Loss: 0.5550, Train: 97.80%, Valid: 29.97%, Test: 29.90%
Epoch: 152, Loss: 0.5692, Train: 97.80%, Valid: 29.97%, Test: 30.41%
Epoch: 153, Loss: 0.5722, Train: 97.80%, Valid: 29.97%, Test: 30.41%
Epoch: 154, Loss: 0.5422, Train: 97.80%, Valid: 30.31%, Test: 30.41%
Epoch: 155, Loss: 0.5793, Train: 97.80%, Valid: 30.66%, Test: 30.41%
Epoch: 156, Loss: 0.5746, Train: 97.80%, Valid: 30.66%, Test: 30.41%
Epoch: 157, Loss: 0.6073, Train: 97.80%, Valid: 30.31%, Test: 29.90%
Epoch: 158, Loss: 0.5638, Train: 97.80%, Valid: 29.97%, Test: 29.38%
Epoch: 159, Loss: 0.5842, Train: 97.80%, Valid: 29.97%, Test: 29.90%
Epoch: 160, Loss: 0.5793, Train: 97.80%, Valid: 29.97%, Test: 29.90%
Epoch: 161, Loss: 0.5840, Train: 97.80%, Valid: 29.97%, Test: 29.38%
Epoch: 162, Loss: 0.6024, Train: 97.80%, Valid: 30.66%, Test: 28.87%
Epoch: 163, Loss: 0.5898, Train: 97.80%, Valid: 30.66%, Test: 28.87%
Epoch: 164, Loss: 0.5867, Train: 97.80%, Valid: 30.66%, Test: 28.87%
Epoch: 165, Loss: 0.5435, Train: 97.80%, Valid: 30.66%, Test: 29.38%
Epoch: 166, Loss: 0.5662, Train: 97.80%, Valid: 30.66%, Test: 29.38%
Epoch: 167, Loss: 0.5707, Train: 97.80%, Valid: 30.66%, Test: 29.38%
Epoch: 168, Loss: 0.5320, Train: 97.80%, Valid: 30.31%, Test: 29.38%
Epoch: 169, Loss: 0.5315, Train: 97.80%, Valid: 30.31%, Test: 28.35%
Epoch: 170, Loss: 0.5217, Train: 97.80%, Valid: 29.97%, Test: 28.35%
Epoch: 171, Loss: 0.5362, Train: 97.80%, Valid: 29.97%, Test: 28.35%
Epoch: 172, Loss: 0.5969, Train: 97.80%, Valid: 30.31%, Test: 28.35%
Epoch: 173, Loss: 0.5728, Train: 97.80%, Valid: 30.66%, Test: 29.38%
Epoch: 174, Loss: 0.5348, Train: 97.80%, Valid: 30.66%, Test: 29.38%
Epoch: 175, Loss: 0.5476, Train: 97.80%, Valid: 31.01%, Test: 29.38%
Epoch: 176, Loss: 0.5447, Train: 97.80%, Valid: 29.97%, Test: 29.38%
Epoch: 177, Loss: 0.5403, Train: 97.80%, Valid: 29.97%, Test: 28.87%
Epoch: 178, Loss: 0.5253, Train: 97.80%, Valid: 30.31%, Test: 29.38%
Epoch: 179, Loss: 0.5400, Train: 97.80%, Valid: 30.31%, Test: 28.87%
Epoch: 180, Loss: 0.5622, Train: 97.80%, Valid: 30.31%, Test: 28.87%
Epoch: 181, Loss: 0.5179, Train: 97.80%, Valid: 29.97%, Test: 28.87%
Epoch: 182, Loss: 0.5608, Train: 97.80%, Valid: 29.97%, Test: 28.35%
Epoch: 183, Loss: 0.5577, Train: 97.80%, Valid: 30.66%, Test: 28.35%
Epoch: 184, Loss: 0.5612, Train: 97.80%, Valid: 31.01%, Test: 28.87%
Epoch: 185, Loss: 0.4907, Train: 97.80%, Valid: 31.36%, Test: 29.38%
