dataset,method,num_partitions,runs,highest_test_mean,highest_test_std,final_test_mean,final_test_std,highest_val_epoch,notes
deezer-europe,pcgt,20,5,66.59,0.52,65.95,1.00,56,auto-logged run_time=66.7ms
chameleon,pcgt,10,5,47.86,2.43,43.96,2.75,168,auto-logged run_time=26.1ms
squirrel,pcgt,10,5,47.45,2.73,44.73,3.75,74,auto-logged run_time=37.5ms
deezer-europe,pcgt,20,5,66.45,0.70,66.20,0.58,57,auto-logged run_time=76.5ms
deezer-europe,pcgt,20,5,66.26,0.73,66.06,0.57,39,auto-logged run_time=57.7ms
chameleon,sgformer,0,3,45.12,2.64,43.09,1.10,186,auto-logged run_time=4.6ms
chameleon,pcgt,10,3,47.37,3.07,44.83,3.31,74,auto-logged run_time=15.1ms
squirrel,sgformer,0,3,44.24,1.80,41.92,1.91,256,auto-logged run_time=8.0ms
squirrel,pcgt,10,3,48.31,2.45,46.22,4.23,95,auto-logged run_time=16.9ms
film,sgformer,0,3,37.06,0.77,36.75,0.85,41,auto-logged run_time=5.9ms
film,pcgt,5,3,37.61,1.25,35.99,0.50,387,auto-logged run_time=10.2ms
chameleon,gcn,0,3,46.74,4.48,41.74,8.43,31,auto-logged run_time=2.4ms
squirrel,gcn,0,3,42.60,0.70,39.63,1.65,233,auto-logged run_time=3.3ms
film,gcn,0,3,25.57,0.83,25.57,0.83,0,auto-logged run_time=3.9ms
coauthor-cs,gat,0,10,92.04,0.30,91.80,0.32,438,auto-logged run_time=13.5ms
coauthor-physics,gat,0,10,95.36,0.15,95.22,0.11,452,auto-logged run_time=26.0ms
amazon-computers,gat,0,10,83.37,0.85,83.16,0.95,495,auto-logged run_time=16.3ms
amazon-photo,gat,0,10,91.10,0.78,90.84,0.69,473,auto-logged run_time=10.4ms
citeseer,gcn,0,3,22.50,0.82,22.00,0.82,10,auto-logged run_time=3.7ms
